What is your highest level of education? - Selected Choice,What is your household average monthy income,How confident are you in identifying misleading or false environmental claims on FMCG product labels?,"How often do you read the ingredients list on FMCG product labels to verify the accuracy of environmental claims (e.g., ""natural,"" ""chemical-free"")?","Do you feel that FMCG brands provide sufficient transparency about the sourcing and processing of ingredients, particularly in products claiming to be ""green"" or ""eco-friendly""?"
0.6,0.5,0.5,0.8,0.25
0.6,0.25,0.25,0.8,0.25
0.8,1.0,0.25,0.8,0.75
0.0,0.25,0.5,0.8,0.5
0.8,1.0,0.0,0.4,1.0
0.6,0.25,0.5,0.2,0.5
0.8,1.0,0.5,0.8,0.75
0.6,0.0,0.0,0.4,0.0
0.8,0.0,0.75,0.4,0.25
0.6,0.0,0.25,0.8,0.75
0.8,0.0,0.75,0.2,0.25
0.6,0.0,0.25,0.2,0.5
0.8,0.0,0.0,0.8,0.25
0.8,0.0,0.25,1.0,0.0
0.8,0.0,0.75,0.2,0.25
0.0,0.25,0.75,1.0,0.25
0.6,0.25,0.25,0.8,0.25
0.6,0.25,0.25,0.8,0.5
0.0,0.25,0.5,0.8,1.0
0.8,0.0,0.25,0.4,0.25
0.6,0.25,0.5,0.4,0.25
0.6,0.25,0.25,0.4,1.0
0.6,0.25,0.5,0.2,0.5
0.8,0.0,0.5,0.4,1.0
0.2,0.0,0.5,0.4,0.25
0.6,0.25,0.0,0.4,0.75
0.6,0.25,0.5,0.4,0.25
0.8,0.0,0.0,0.2,0.5
1.0,0.25,0.5,1.0,0.25
1.0,0.25,1.0,0.2,0.25
0.4,0.25,0.5,0.4,0.5
1.0,0.25,0.0,0.8,0.25
0.8,0.0,0.25,0.2,0.25
0.8,0.5,0.5,0.4,0.25
0.8,0.5,0.25,0.4,0.5
1.0,1.0,0.25,0.4,0.25
0.4,1.0,0.0,0.4,0.75
0.8,0.5,0.5,0.4,0.25
0.8,0.5,0.25,0.8,0.25
0.6,0.5,0.5,0.8,0.25
0.6,0.5,0.5,0.4,0.5
0.8,0.5,0.25,0.8,0.75
0.8,0.5,0.25,0.4,0.25
0.8,0.5,0.25,0.8,0.25
0.8,0.5,0.25,0.8,0.25
0.6,0.5,0.25,0.2,0.0
0.8,0.5,0.5,1.0,0.25
0.8,0.5,0.25,0.8,0.5
0.8,0.5,0.0,1.0,0.75
1.0,0.75,0.25,0.2,0.25
0.6,0.75,0.5,0.4,0.75
0.8,0.75,0.0,0.4,0.25
0.6,0.75,0.25,0.4,0.0
0.6,0.75,0.25,0.8,0.5
0.6,0.75,0.25,0.2,0.75
0.8,0.75,0.25,0.4,0.25
0.6,0.75,0.25,0.8,0.0
0.8,0.75,0.25,0.2,0.75
0.6,0.75,0.25,0.8,0.5
0.6,0.75,0.0,0.4,0.75
0.8,0.75,0.25,0.8,0.5
0.6,0.75,0.0,1.0,0.5
0.6,0.75,0.5,0.4,1.0
0.8,0.75,0.5,0.4,0.5
1.0,0.75,0.5,0.2,0.25
1.0,0.75,0.5,0.4,0.25
0.0,0.0,0.25,0.2,0.25
0.8,0.5,0.5,0.8,0.25
0.6,0.0,0.75,0.2,0.25
0.8,0.5,0.5,0.2,0.5
0.6,0.0,0.25,0.8,0.75
0.8,0.5,0.25,0.2,0.25
0.6,0.0,0.25,1.0,0.0
0.8,0.5,0.0,0.4,0.5
0.8,0.5,0.0,0.4,0.5
0.8,0.5,0.25,0.8,0.25
0.6,0.0,0.5,0.8,0.25
0.6,0.0,0.25,0.8,0.75
0.8,0.0,0.25,0.8,0.5
0.0,0.0,0.5,0.4,1.0
0.8,0.0,0.0,0.2,0.5
0.6,0.0,0.5,0.8,0.75
0.8,0.75,0.5,0.4,0.0
0.6,0.0,0.0,0.4,0.25
0.8,0.75,0.75,0.8,0.75
0.6,0.0,0.25,0.2,0.25
0.8,0.75,0.75,0.2,0.5
0.6,0.0,0.25,0.8,0.25
0.8,0.0,0.0,1.0,0.0
0.8,0.0,0.25,0.2,0.25
0.8,0.0,0.75,1.0,0.25
0.0,0.0,0.75,0.8,0.25
0.6,0.75,0.25,0.8,0.5
0.6,0.0,0.25,0.8,1.0
0.0,0.0,0.5,0.4,0.25
0.8,0.75,0.25,0.4,0.25
0.6,0.0,0.5,0.4,1.0
0.6,0.75,0.25,0.2,0.5
0.6,0.0,0.5,0.4,1.0
0.8,0.75,0.5,0.4,0.25
0.2,0.0,0.5,0.4,0.75
0.6,0.25,0.0,0.4,0.25
0.6,0.25,0.5,0.2,0.5
0.8,1.0,0.0,1.0,0.25
1.0,1.0,0.5,0.2,0.25
1.0,1.0,1.0,0.4,0.5
0.4,1.0,0.5,0.8,0.25
1.0,1.0,0.0,0.2,0.25
0.8,1.0,0.25,0.4,0.25
0.8,1.0,0.5,0.4,0.5
0.8,1.0,0.25,0.4,0.25
1.0,0.75,0.25,0.4,0.75
0.4,0.75,0.0,0.4,0.25
0.8,1.0,0.5,0.8,0.25
0.8,1.0,0.25,0.8,0.25
0.6,1.0,0.5,0.4,0.5
0.6,1.0,0.5,0.8,0.75
0.8,1.0,0.25,0.4,0.25
0.8,0.75,0.25,0.8,0.25
0.8,0.75,0.25,0.8,0.25
0.8,0.75,0.25,0.2,0.0
0.6,0.0,0.25,1.0,0.25
0.8,0.0,0.5,0.8,0.5
0.8,0.0,0.25,1.0,0.75
0.8,0.0,0.0,0.2,0.25
1.0,0.0,0.25,0.4,0.75
0.6,0.75,0.5,0.4,0.25
0.8,0.75,0.0,0.4,0.0
0.6,1.0,0.25,0.8,0.5
0.6,1.0,0.25,0.2,0.75
0.6,1.0,0.25,0.4,0.25
0.8,0.75,0.25,0.8,0.0
0.6,0.75,0.25,0.2,0.75
0.8,0.75,0.25,0.8,0.5
0.6,0.0,0.25,0.4,0.75
0.6,0.0,0.0,0.8,0.5
0.8,0.0,0.25,1.0,0.5
0.6,0.0,0.0,0.4,1.0
0.6,0.0,0.5,0.4,0.5
0.8,0.75,0.5,0.2,0.25
1.0,0.75,0.5,0.4,0.25
1.0,0.75,0.5,0.2,0.25
0.0,0.0,0.25,0.8,0.25
0.8,0.75,0.5,0.2,0.25
0.6,0.0,0.75,0.2,0.5
0.8,0.25,0.5,0.8,0.75
0.6,0.0,0.25,0.2,0.25
0.8,0.25,0.25,1.0,0.0
0.6,0.0,0.25,0.4,0.5
0.8,0.25,0.0,0.4,0.5
0.8,0.25,0.0,0.8,0.25
0.8,0.25,0.25,0.8,0.25
0.6,0.0,0.5,0.8,0.75
0.6,0.0,0.25,0.8,0.5
0.8,0.25,0.25,0.4,1.0
0.0,0.0,0.5,0.2,0.5
0.8,0.25,0.0,0.8,0.75
0.6,0.0,0.5,0.4,0.0
0.8,0.25,0.5,0.4,0.25
0.6,0.0,0.0,0.8,0.75
0.8,0.25,0.75,0.2,0.25
0.6,0.0,0.25,0.2,0.5
0.8,0.25,0.75,0.8,0.25
0.6,0.0,0.25,1.0,0.0
0.8,0.25,0.0,0.2,0.25
0.8,0.75,0.25,1.0,0.25
0.8,0.75,0.75,0.8,0.25
0.0,0.75,0.75,0.8,0.5
0.6,0.75,0.25,0.8,1.0
0.6,0.75,0.25,0.4,0.25
0.0,0.75,0.5,0.4,0.25
0.8,0.75,0.25,0.4,1.0
0.6,0.75,0.5,0.2,0.5
0.6,0.75,0.25,0.4,1.0
0.6,0.0,0.5,0.4,0.25
0.8,0.0,0.5,0.4,0.75
0.2,0.0,0.5,0.4,0.25
0.6,0.0,0.0,0.2,0.5
0.6,0.0,0.5,1.0,0.25
0.8,0.75,0.0,0.2,0.25
1.0,0.0,0.5,0.4,0.5
1.0,0.0,1.0,0.8,0.25
0.4,0.0,0.5,0.2,0.25
1.0,0.0,0.0,0.4,0.25
0.8,0.75,0.25,0.4,0.5
0.8,0.75,0.5,0.4,0.25
0.8,0.75,0.25,0.4,0.75
1.0,0.25,0.25,0.4,0.25
0.4,0.25,0.0,0.8,0.25
0.8,0.75,0.5,0.8,0.25
0.8,0.75,0.25,0.2,0.5
0.6,0.75,0.5,1.0,0.25
0.6,0.75,0.5,0.2,0.25
